Title,MapType,MatchMode,Priority,OutputCode,FolderName,Active
2027-01-23,FiscalWeek,Token,0,2026-W51,,Yes
2027-01-30,FiscalWeek,Token,0,2026-W52,,Yes
2027-02-06,FiscalWeek,Token,0,2027-W01,,Yes
2027-02-13,FiscalWeek,Token,0,2027-W02,,Yes
2027-02-20,FiscalWeek,Token,0,2027-W03,,Yes
2027-02-27,FiscalWeek,Token,0,2027-W04,,Yes
2027-03-06,FiscalWeek,Token,0,2027-W05,,Yes
2027-03-13,FiscalWeek,Token,0,2027-W06,,Yes
2027-03-20,FiscalWeek,Token,0,2027-W07,,Yes
2027-03-27,FiscalWeek,Token,0,2027-W08,,Yes
2027-04-03,FiscalWeek,Token,0,2027-W09,,Yes
2027-04-10,FiscalWeek,Token,0,2027-W10,,Yes
2027-04-17,FiscalWeek,Token,0,2027-W11,,Yes
2027-04-24,FiscalWeek,Token,0,2027-W12,,Yes
2027-05-01,FiscalWeek,Token,0,2027-W13,,Yes
2027-05-08,FiscalWeek,Token,0,2027-W14,,Yes
2027-05-15,FiscalWeek,Token,0,2027-W15,,Yes
2027-05-22,FiscalWeek,Token,0,2027-W16,,Yes
2027-05-29,FiscalWeek,Token,0,2027-W17,,Yes
2027-06-05,FiscalWeek,Token,0,2027-W18,,Yes
2027-06-12,FiscalWeek,Token,0,2027-W19,,Yes
2027-06-19,FiscalWeek,Token,0,2027-W20,,Yes
2027-06-26,FiscalWeek,Token,0,2027-W21,,Yes
2027-07-03,FiscalWeek,Token,0,2027-W22,,Yes
2027-07-10,FiscalWeek,Token,0,2027-W23,,Yes
2027-07-17,FiscalWeek,Token,0,2027-W24,,Yes
2027-07-24,FiscalWeek,Token,0,2027-W25,,Yes
2027-07-31,FiscalWeek,Token,0,2027-W26,,Yes
2027-08-07,FiscalWeek,Token,0,2027-W27,,Yes
2027-08-14,FiscalWeek,Token,0,2027-W28,,Yes
2027-08-21,FiscalWeek,Token,0,2027-W29,,Yes
2027-08-28,FiscalWeek,Token,0,2027-W30,,Yes
2027-09-04,FiscalWeek,Token,0,2027-W31,,Yes
2027-09-11,FiscalWeek,Token,0,2027-W32,,Yes
